,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_2,AVG_CONTRAST_3,PREV_SIM,PRESENT_ZONE,P_ID
2074,3,FIRIN,9,1,soc,0.61937714,3.0,0.341640395,0.5044677611767232,0.38961592,2,soc17
2075,3,KİTAP,10,0,soc,0.3477716,3.0,0.214966035,0.5475804014942351,0.2069913,3,soc17
2076,3,DUVAR,11,1,soc,0.4160808,10.0,0.33604707,0.4849103191458143,0.33419648,3,soc17
2077,3,ÇİÇEK,12,1,soc,0.45051584,4.0,0.33132956,0.46401694160546336,0.32897812,3,soc17
2078,3,TOPRAK,13,1,soc,0.3972849,1.0,0.35756135,0.5295890955511688,0.3972849,3,soc17
2079,3,DOLAP,14,0,soc,0.59253436,13.0,0.338465475,0.45160096196786104,0.29038775,3,soc17
2080,3,KÜÇÜK,15,0,soc,0.4708734,3.0,0.37159692499999997,0.42832581907804523,0.38089415,3,soc17
2081,3,PARKUR,16,0,soc,0.4097581,2.0,0.349679,0.5651614857162843,0.2895999,3,soc17
2082,3,KALAS,17,0,soc,0.4007821,2.0,0.35147248,0.5845945917285198,0.30216286,3,soc17
2083,4,KALIP,1,1,soc,,,,0.5202815254678368,,1,soc17
2084,4,KUTU,2,0,soc,0.43464944,1.0,0.43464944,0.5005333548094475,0.43464944,1,soc17
2085,4,KASA,3,0,soc,0.34331515,2.0,0.34170036000000004,0.5079363512390036,0.34008557,1,soc17
2086,4,MARKET,4,0,soc,0.47207937,1.0,0.40116657499999997,0.4778138477540982,0.47207937,1,soc17
2087,4,SULUK,5,0,soc,0.4077956,4.0,0.30795476499999996,0.4994923145852873,0.3413419,2,soc17
2088,4,SIRA,6,0,soc,0.27395698,5.0,0.223814695,0.6512357855203366,0.24190436,2,soc17
2089,4,BAHÇE,7,0,soc,0.41458023,2.0,0.33879849500000003,0.47432409841973533,0.26301676,2,soc17
2090,4,ZEMİN,8,0,soc,0.4053062,7.0,0.31205156500000003,0.48110628169592795,0.38117683,2,soc17
2091,4,TAHTA,9,0,soc,0.50979894,7.0,0.400937565,0.48362337944361555,0.373964,2,soc17
2092,4,MEKTUP,10,0,soc,0.32184452,8.0,0.30097258000000005,0.5636593390345463,0.3148368,3,soc17
2093,4,HARİTA,11,0,soc,0.38407496,9.0,0.273283875,0.5654452647578638,0.22204159,3,soc17
2094,4,SİLGİ,12,0,soc,0.3718508,3.0,0.323398605,0.45367550474019247,0.29583558,3,soc17
2095,4,DERGİ,13,0,soc,0.3613815,11.0,0.29747657,0.5844684191151115,0.3344128,3,soc17
2096,4,PARA,14,0,soc,0.42892715,11.0,0.317098465,0.5108067566910386,0.2685765,3,soc17
2097,4,ÇORAP,15,0,soc,0.47379452,14.0,0.324649035,0.4866802724244592,0.3853378,3,soc17
2098,4,HALKA,16,1,soc,0.4055868,6.0,0.34267728,0.5760088815186417,0.31517163,3,soc17
2099,4,TERAS,17,1,soc,0.5827601,10.0,0.32805848000000004,0.6068464835197074,0.28412512,3,soc17
2106,1,AĞAÇ,1,1,eng,,,,0.5728520918337114,,1,eng17
2107,1,BARDAK,2,1,eng,0.46766984,1.0,0.46766984,0.49924360448753125,0.46766984,1,eng17
2108,1,SARI,3,1,eng,0.33464295,1.0,0.31534813500000003,0.5955582382353677,0.33464295,1,eng17
2109,1,EKRAN,4,0,eng,0.25516546,2.0,0.23039656,0.6397431921338421,0.20562766,1,eng17
2110,1,ÖLÇEK,5,1,eng,0.38344455,4.0,0.26453066000000003,0.5576239153074418,0.2835013,2,eng17
2111,1,BEYİN,6,0,eng,0.38922995,4.0,0.29094045,0.5001370217728814,0.32061154,2,eng17
2112,1,KALEM,7,1,eng,0.3726788,6.0,0.35093175,0.47770493724034924,0.3629623,2,eng17
2113,1,ÇANTA,8,0,eng,0.39322418,6.0,0.33729906,0.5036878035985259,0.35293227,2,eng17
2114,1,KAĞIT,9,0,eng,0.54864174,8.0,0.453334425,0.4399218967616211,0.44693145,2,eng17
2115,1,BİNA,10,0,eng,0.36686105,9.0,0.30078601000000005,0.5202842930607857,0.29269272,3,eng17
2116,1,KOLAY,11,0,eng,0.38691002,2.0,0.34307572,0.5770613959139922,0.29924142,3,eng17
2117,1,KALE,12,0,eng,0.4019536,5.0,0.26179912,0.5596863163999062,0.24199994,3,eng17
2118,1,PARK,13,1,eng,0.42821342,12.0,0.29641886,0.5016537161015222,0.39377257,3,eng17
2119,1,KÖPEK,14,0,eng,0.4649074,8.0,0.289148185,0.4925795285125566,0.33429617,3,eng17
2120,1,ŞİŞE,15,0,eng,0.57344735,13.0,0.363682575,0.516536930469851,0.4399126,3,eng17
2121,1,YAZI,16,0,eng,0.4933328,9.0,0.26691387499999997,0.5489269936873982,0.22990675,3,eng17
2122,1,RAKAM,17,0,eng,0.46593082,1.0,0.359532965,0.5388486952906595,0.46593082,3,eng17
2123,1,KABLO,18,0,eng,0.4190494,10.0,0.25661382,0.5747156277288425,0.22632574,3,eng17
2124,2,KEDİ,1,1,eng,,,,0.5053406455015295,,1,eng17
2125,2,TABAK,2,0,eng,0.38218427,1.0,0.38218427,0.5104312304211596,0.38218427,1,eng17
2126,2,TOPLU,3,0,eng,0.3067139,2.0,0.29633557499999996,0.5475712423052728,0.28595725,1,eng17
2127,2,İLAÇ,4,0,eng,0.40010008,3.0,0.313636455,0.5004793548904585,0.27550188,1,eng17
2128,2,GRUP,5,0,eng,0.35744882,2.0,0.343889685,0.50457364966548,0.33033055,2,eng17
2129,2,DEFTER,6,0,eng,0.39090934,2.0,0.34299479,0.5441485729859832,0.29508024,2,eng17
2130,2,KOLTUK,7,1,eng,0.3129203,6.0,0.228253105,0.6298876805115068,0.21883541,2,eng17
2131,2,TERLİK,8,1,eng,0.46227136,6.0,0.297367545,0.41714943290594775,0.31538105,2,eng17
2132,2,SPOR,9,0,eng,0.40417683,1.0,0.299092425,0.6333780299596956,0.40417683,2,eng17
2133,2,KAPI,10,0,eng,0.43674022,9.0,0.3073426,0.4922647659604723,0.20968714,3,eng17
2134,2,KAŞIK,11,0,eng,0.589364,9.0,0.31442777,0.4354854932603067,0.34707394,3,eng17
2135,2,CÜZDAN,12,0,eng,0.5149376,4.0,0.454384565,0.40374269945125996,0.46361983,3,eng17
2136,2,TAŞLIK,13,1,eng,0.56647515,5.0,0.51263194,0.37588881982061395,0.49114892,3,eng17
2137,2,SEHPA,14,0,eng,0.5529075,3.0,0.5257706,0.4747649109171961,0.5061009,3,eng17
2138,2,KISA,15,0,eng,0.3854969,12.0,0.25185050999999997,0.5840867856696041,0.23282285,3,eng17
2139,2,ELMA,16,0,eng,0.46791017,5.0,0.28379686000000004,0.5668151288714068,0.2578248,3,eng17
