ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
3,LAMBA,7,LAMBA,8.0,1.5354329000110738,1,8,eng
3,FIRIN,8,,,,0,8,eng
3,HALI,9,HALI,9.0,1.4074457999959122,1,8,eng
3,YATAK,10,,,,0,8,eng
3,PARKUR,11,,,,0,8,eng
3,SALÇA,12,,,,0,8,eng
3,KOKU,13,KOKU,2.0,1.4440979000064544,1,8,eng
3,DÜĞME,14,DÜĞME,3.0,2.168545200009248,1,8,eng
3,KALAS,15,KALAS,4.0,1.1287213999894448,1,8,eng
3,ÇİÇEK,16,,,,0,8,eng
3,KOLA,17,KOLA,1.0,1.4130981000052998,1,8,eng
4,SİLGİ,1,,,,0,8,eng
4,KUTU,2,,,,0,8,eng
4,HARİTA,3,,,,0,8,eng
4,SULUK,4,,,,0,8,eng
4,TERAS,5,,,,0,8,eng
4,KALIP,6,,,,0,8,eng
4,MEKTUP,7,,,,0,8,eng
4,TAHTA,8,,,,0,8,eng
4,BAHÇE,9,,,,0,8,eng
4,DERGİ,10,,,,0,8,eng
4,SIRA,11,,,,0,8,eng
4,KASA,12,,,,0,8,eng
4,ZEMİN,13,,,,0,8,eng
4,PARA,14,PARA,3.0,1.1764227000094252,1,8,eng
4,MARKET,15,MARKET,4.0,5.792100600010599,1,8,eng
4,ÇORAP,16,ÇORAP,2.0,1.5101191999856385,1,8,eng
4,HALKA,17,HALKA,1.0,1.2740516000048956,1,8,eng
0,MASA,1,masa,2.0,2.008739299955778,1,7,soc
0,CAM,2,cam,4.0,1.5279838999267668,1,7,soc
0,SU,3,su,3.0,1.506001599947922,1,7,soc
0,İYİLİK,4,iyilik,6.0,4.038217700086534,1,7,soc
0,TÜTÜN,5,tütün,5.0,2.580814099987037,1,7,soc
0,KELİME,6,kelime,1.0,10.69395570002962,1,7,soc
1,KOLAY,1,kolay,14.0,2.2092722000088543,1,7,soc
1,YAZI,2,yazı,13.0,3.038353699957952,1,7,soc
1,KAĞIT,3,kağıt,4.0,4.850830700015649,1,7,soc
1,BARDAK,4,,,,0,7,soc
1,MASA,5,masa,2.0,2.008739299955778,2,7,soc
1,ÇANTA,6,,,,0,7,soc
1,BEYİN,7,,,,0,7,soc
1,KALE,8,kale,6.0,1.7445850999793038,1,7,soc
1,ÖLÇEK,9,ölçek,5.0,2.4289441999280825,1,7,soc
1,SARI,10,sarı,7.0,2.792520000017248,1,7,soc
1,PARK,11,park,10.0,1.899407499935478,1,7,soc
1,KALEM,12,kalem,3.0,2.0978174000047147,1,7,soc
1,KÖPEK,13,köpek,9.0,1.76192760001868,1,7,soc
1,RAKAM,14,,,,0,7,soc
1,AĞAÇ,15,ağaç,11.0,1.3561896999599412,1,7,soc
1,EKRAN,16,ekran,8.0,2.0366828999249265,1,7,soc
1,ŞİŞE,17,şişe,2.0,2.943279800005257,1,7,soc
1,BİNA,18,bina,1.0,4.075731400051154,1,7,soc
2,SPOR,1,,,,0,7,soc
2,ELMA,2,elma,3.0,1.6995680999243632,1,7,soc
2,ŞİŞE,3,şişe,2.0,2.943279800005257,2,7,soc
2,KISA,4,,,,0,7,soc
2,TOPLU,5,,,,0,7,soc
2,GRUP,6,,,,0,7,soc
2,İLAÇ,7,,,,0,7,soc
2,KAPI,8,,,,0,7,soc
2,BÜYÜK,9,,,,0,7,soc
2,KOLTUK,10,,,,0,7,soc
2,TABAK,11,,,,0,7,soc
2,SEHPA,12,,,,0,7,soc
2,TERLİK,13,,,,0,7,soc
2,DEFTER,14,,,,0,7,soc
2,KAŞIK,15,,,,0,7,soc
2,CÜZDAN,16,,,,0,7,soc
2,KEDİ,17,,,,0,7,soc
3,DOLAP,1,,,,0,7,soc
3,PARKUR,2,,,,0,7,soc
3,DUVAR,3,,,,0,7,soc
3,SALÇA,4,,,,0,7,soc
3,FIRIN,5,,,,0,7,soc
3,LAMBA,6,,,,0,7,soc
3,HALI,7,,,,0,7,soc
3,KİTAP,8,,,,0,7,soc
3,CAM,9,cam,4.0,1.5279838999267668,2,7,soc
3,TOPRAK,10,toprak,3.0,4.817747100023553,1,7,soc
3,YATAK,11,,,,0,7,soc
3,KÜÇÜK,12,küçük,5.0,1.974981200066395,1,7,soc
3,ODA,13,oda,4.0,1.1337564999703318,1,7,soc
3,KOKU,14,,,,0,7,soc
3,KALAS,15,kalas,2.0,1.6832236999180168,1,7,soc
3,DÜĞME,16,,,,0,7,soc
3,ÇİÇEK,17,çiçek,1.0,2.782243800000288,1,7,soc
4,KASA,1,kasa,2.0,0.943361600046046,1,7,soc
4,MARKET,2,market,4.0,2.027316199964844,1,7,soc
4,BAHÇE,3,,,,0,7,soc
4,ZEMİN,4,,,,0,7,soc
4,DERGİ,5,dergi,5.0,4.535245400038548,1,7,soc
4,MEKTUP,6,mektup,6.0,3.067706400062889,1,7,soc
4,ÇORAP,7,çorap,7.0,3.0855773999355733,1,7,soc
4,HALKA,8,,,,0,7,soc
4,SİLGİ,9,,,,0,7,soc
4,KUTU,10,,,,0,7,soc
4,FIRIN,11,,,,0,7,soc
4,TAHTA,12,,,,0,7,soc
4,HARİTA,13,,,,0,7,soc
4,TERAS,14,teras,3.0,1.7651987000135705,1,7,soc
4,KALIP,15,,,,0,7,soc
4,PARA,16,para,1.0,2.1186503999633715,1,7,soc
4,SIRA,17,sıra,9.0,1.497533299960196,1,7,soc
0,MASA,1,MASA,3.0,1.3892667000181973,1,7,eng
0,CAM,2,CAM,4.0,1.3420255000237375,1,7,eng
0,SU,3,SU,5.0,0.9466416999930516,1,7,eng
0,İYİLİK,4,İYİLİK,6.0,2.210191300022416,1,7,eng
