,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_1,AVG_CONTRAST_1,AVG_SIM_PREV_5,AVG_CONTRAST_5,PREV_SIM,STM_SEMANTIC_D,STM_MAX_SIM,STM_MAX_SIM_DIST,STM_MAX_SIM_POS,UNIQUENESS,PRESENT_ZONE,SAME_CLUSTER_IN_Z1,SAME_CLUSTER_IN_Z2,SAME_CLUSTER_IN_Z3,SAME_CLUSTER_IN_Z1_COUNT,SAME_CLUSTER_IN_Z2_COUNT,SAME_CLUSTER_IN_Z3_COUNT,CATEGORY_IN_STM_4,CATEGORY_IN_STM_1,CLUSTER,P_ID
2376,3,LAMBA,11,0,soc,0.8145371713165205,10.0,0.7685736311244618,0.5386822241244342,0.4412055365130928,0.38164723713390325,0.7685736311244618,2.458040118349364,0.7685736311244618,1,9,0.4636264119078235,3,1,0,1,1,0,4,1,1,0,soc15
2377,3,HALI,12,0,soc,0.751662779508489,11.0,0.3564879164371825,0.6023804360841227,0.3464736667755172,0.46200957311379875,0.3564879164371825,2.5653113693365532,0.5556237903853873,2,9,0.530464071340317,3,0,0,1,0,0,1,0,0,5,soc15
2378,3,KOKU,13,1,soc,0.7679684291054976,12.0,0.31191252104015954,0.5413105383126527,0.4978236877250729,0.4257329006477846,0.31191252104015954,2.77024385909876,0.6665352563848626,2,10,0.46900127191368013,3,0,1,1,0,1,1,0,0,4,soc15
2379,3,FIRIN,14,0,soc,0.9575447667524211,13.0,0.6742146260946187,0.45937644066001926,0.5783492126727025,0.3990460963752649,0.6742146260946187,3.2343964169463715,0.8174243470308453,4,9,0.4029799162287029,3,1,0,1,1,0,4,1,0,0,soc15
2380,3,DÜĞME,15,0,soc,0.9823856774645168,4.0,0.7746284895080563,0.4612649361775978,0.7884763455042508,0.3244979188637498,0.7746284895080563,3.203175576518616,0.9823856774645168,4,10,0.34130239981149335,3,1,0,1,1,0,4,1,1,0,soc15
2381,3,YATAK,16,1,soc,0.7480478841854629,12.0,0.5065464660450255,0.6045546159074138,0.4285256332577852,0.49922670173057815,0.5065464660450255,3.5178076038944446,0.5074386632811121,4,11,0.5132455888317582,3,1,1,1,1,2,1,0,0,3,soc15
2382,3,KALAS,17,0,soc,0.5165683044205327,11.0,0.07677039143694914,0.772088918252277,0.13989474577919608,0.6309807809416097,0.07677039143694914,3.3151614690360027,0.18563779523723575,3,13,0.6566533133146095,3,0,1,1,0,1,1,0,0,7,soc15
2383,4,DERGİ,1,0,soc,,,,0.7545661090287967,,0.6502142116765496,,0.0,1.0,0,0,1.0,1,1,0,0,2,0,0,0,0,8,soc15
2384,4,KASA,2,1,soc,0.10379699334567782,1.0,0.10379699334567782,0.6178356002730023,0.10379699334567782,0.5288436035461015,0.10379699334567782,0.0,0.10379699334567782,1,0,0.7545661090287967,1,1,0,1,2,0,2,0,0,5,soc15
2385,4,ÇORAP,3,1,soc,0.5221174508039267,1.0,0.5221174508039267,0.5330049057823436,0.3299856259083663,0.41692008507479117,0.5221174508039267,0.10379699334567782,0.5221174508039267,1,1,0.5677577051259064,1,1,0,1,2,0,2,1,1,5,soc15
